Date,Combined Economy Score,InvertandBearFinal
2011-08-29,36.3215733495864,0.0
2011-08-30,36.55513288241789,0.0
2011-08-31,36.63439130741167,0.0
2011-09-01,36.783129119157145,0.0
2011-09-02,37.07043009223945,0.0
2011-09-05,37.03989377813328,0.0
2011-09-06,37.25752992126082,0.0
2011-09-07,37.28092049060854,0.0
2011-09-08,37.46439799572986,0.0
2011-09-09,37.71273117040623,0.0
2011-09-12,37.86312560809917,0.0
2011-09-13,37.88741866770185,0.0
2011-09-14,37.97487368227151,0.0
2011-09-15,35.31174856868755,0.0
2011-09-16,35.428961035910454,0.0
2011-09-19,35.649453004365334,0.0
2011-09-20,35.8144727293407,0.0
2011-09-21,36.00897792360482,0.0
2011-09-22,36.18501297484277,0.0
2011-09-23,36.27705461796846,0.0
2011-09-26,36.36635170168865,0.0
2011-09-27,36.39895261678904,0.0
2011-09-28,36.533930542866436,0.0
2011-09-29,36.6798867065658,0.0
2011-09-30,36.79847145349146,0.0
2011-10-03,36.80425728142737,0.0
2011-10-04,36.93829562860918,0.0
2011-10-05,37.00292876632055,0.0
2011-10-06,37.042897958023076,0.0
2011-10-07,37.05820320371678,0.0
2011-10-10,37.12428279841211,0.0
2011-10-11,37.093400323660205,0.0
2011-10-12,37.087614495724296,0.0
2011-10-13,37.36733702324098,0.0
2011-10-14,37.382605180294064,0.0
2011-10-17,37.59909157556255,0.0
2011-10-18,37.699403985545324,0.0
2011-10-19,37.44168738479341,0.0
2011-10-20,37.46898462428589,0.0
2011-10-21,37.45652284103932,0.0
2011-10-24,37.45684427592465,0.0
2011-10-25,37.641483891785235,0.0
2011-10-26,37.587816628815645,0.0
2011-10-27,37.407034231579,0.0
2011-10-28,37.52035239153736,0.0
2011-10-31,37.74709997737593,0.0
2011-11-01,37.651621453553275,0.0
2011-11-02,37.71452378803595,0.0
2011-11-03,37.72531658245485,0.0
2011-11-04,37.83321980088345,0.0
2011-11-07,37.95093914619477,0.0
2011-11-08,37.99361580866217,0.0
2011-11-09,38.222699978859474,0.0
2011-11-10,38.298781143640596,0.0
2011-11-11,38.41548673277511,0.0
2011-11-14,38.48254299500663,0.0
2011-11-15,38.539919122037695,0.0
2011-11-16,39.99328695604872,0.0
2011-11-17,40.12809180180325,0.0
2011-11-18,40.08175572679518,0.0
2011-11-21,40.227427544249835,0.0
2011-11-22,40.325576450196756,0.0
2011-11-23,40.466661639095385,0.0
2011-11-24,40.57242607924854,0.0
2011-11-25,40.545116476875855,0.0
2011-11-28,40.638678754266735,0.0
2011-11-29,40.60516298603118,0.0
2011-11-30,40.543768922933516,0.0
2011-12-01,40.5198962012578,0.0
2011-12-02,40.65318659418722,0.0
2011-12-05,40.40578063552622,0.0
2011-12-06,40.3974356913879,0.0
2011-12-07,40.525379138628686,0.0
2011-12-08,40.608507145126616,0.0
2011-12-09,40.539818982708034,0.0
2011-12-12,40.613847909375146,0.0
2011-12-13,43.72089932535763,0.0
2011-12-14,43.83558976501873,0.0
2011-12-15,43.965103298045555,0.0
2011-12-16,44.274941801741434,0.0
2011-12-19,44.33615042163603,0.0
2011-12-20,44.22260972983398,0.0
2011-12-21,44.22134871605308,0.0
2011-12-22,44.264284999004786,0.0
2011-12-23,44.27081259975299,0.0
2011-12-26,44.31093014601798,0.0
2011-12-27,44.374376447229665,0.0
2011-12-28,44.52066640869457,0.0
2011-12-29,44.55305715483148,0.0
2011-12-30,44.60787416566012,0.0
2012-01-02,44.45185461747394,0.0
2012-01-03,44.35485545938608,0.0
2012-01-04,44.32964754664824,0.0
2012-01-05,44.35792145367691,0.0
2012-01-06,44.41922897661314,0.0
2012-01-09,44.44887516334455,0.0
2012-01-10,44.4419766761902,0.0
2012-01-11,44.54164621640233,0.0
2012-01-12,45.0858107515024,0.0
2012-01-13,45.22253184368869,0.0
2012-01-16,45.244414141651404,0.0
2012-01-17,45.273157838127865,0.0
2012-01-18,45.38501717822204,0.0
2012-01-19,47.52216355348738,0.0
2012-01-20,47.42700646455006,0.0
2012-01-23,47.37301776669514,0.0
2012-01-24,47.392192593892986,0.0
2012-01-25,47.47998140622817,0.0
2012-01-26,47.588861292192966,0.0
2012-01-27,47.61626979760729,0.0
2012-01-30,47.62510925695381,0.0
2012-01-31,47.67169258956598,0.0
2012-02-01,47.65244358508691,0.0
2012-02-02,47.66981343177483,0.0
2012-02-03,47.60556972478992,0.0
2012-02-06,47.632075739949286,0.0
2012-02-07,47.5854553186965,0.0
2012-02-08,47.575342482688875,0.0
2012-02-09,47.43085750173389,0.0
2012-02-10,47.563535932093174,0.0
2012-02-13,47.50319271381292,0.0
2012-02-14,47.571880876231496,0.0
2012-02-15,51.635262890466116,0.0
2012-02-16,51.551689820280814,0.0
2012-02-17,51.525653594569235,0.0
2012-02-20,51.522006544908784,0.0
2012-02-21,51.480405453019195,0.0
2012-02-22,51.51565202448345,0.0
2012-02-23,51.53352874925977,0.0
2012-02-24,51.50027260150852,0.0
2012-02-27,51.49416533868728,0.0
2012-02-28,51.46859890242349,0.0
2012-02-29,51.371204132169076,0.0
2012-03-01,51.29027671834763,0.0
2012-03-02,51.35155951552345,0.0
2012-03-05,51.342818959218576,0.0
2012-03-06,51.45389943785984,0.0
2012-03-07,51.44010246355114,0.0
2012-03-08,51.386076677055605,0.0
2012-03-09,51.36776725147211,0.0
2012-03-12,51.38419751926446,0.0
2012-03-13,51.6219109798448,0.0
2012-03-14,51.4673502515228,0.0
2012-03-15,51.47316080521911,0.0
2012-03-16,51.74310429449369,0.0
2012-03-19,51.53282406508809,0.0
2012-03-20,51.53744778228474,0.0
2012-03-21,51.692861549340876,0.0
2012-03-22,51.72399128169688,0.0
2012-03-23,51.793581934370415,0.0
2012-03-26,51.75248772056924,0.0
2012-03-27,51.87787205160761,0.0
2012-03-28,51.85136603644824,0.0
2012-03-29,51.89531607557676,0.0
2012-03-30,51.794706956469064,0.0
2012-04-02,51.7074868366233,0.0
2012-04-03,51.472431395287025,0.0
2012-04-04,51.54935323592208,0.0
2012-04-05,51.68524601513463,0.0
2012-04-06,51.675881133379406,0.0
2012-04-09,51.788877858452445,0.0
2012-04-10,51.83737743749637,0.0
2012-04-11,51.78252333802711,0.0
2012-04-12,52.658717746790906,0.0
2012-04-13,54.547061157932085,0.0
2012-04-16,54.58552207824962,0.0
2012-04-17,54.49686786430008,0.0
2012-04-18,54.39970798876956,0.0
2012-04-19,54.45557584441563,0.0
2012-04-20,54.39887967579583,0.0
2012-04-23,54.4954090444359,0.0
2012-04-24,54.42173864129474,0.0
2012-04-25,54.37963067131676,0.0
2012-04-26,54.44640258730357,0.0
2012-04-27,54.52823249137998,0.0
2012-04-30,54.42952725582384,0.0
2012-05-01,54.324331508160114,0.0
2012-05-02,54.407607869220506,0.0
2012-05-03,54.41670694905133,0.0
2012-05-04,54.507852283362155,0.0
2012-05-07,54.521537991749014,0.0
2012-05-08,54.54992316469952,0.0
2012-05-09,54.55631477376547,0.0
2012-05-10,58.47616374882089,0.0
2012-05-11,58.499096891601035,0.0
